Sample	Unique Reads	Duplicate Reads
Phage_Ump_rep2_clean_1	349296.0	2152796.0
Phage_Ump_rep2_clean_2	756660.0	1745432.0
Phage_Ump_rep3_clean_1	368656.0	3767688.0
Phage_Ump_rep3_clean_2	1067725.0	3068619.0
S1I_T01_clean_1	2443728.0	925725.0
S1I_T01_clean_2	2249888.0	1119565.0
S1I_T02_clean_1	1700829.0	3145680.0
S1I_T02_clean_2	2252931.0	2593578.0
S1I_T03_clean_1	1116922.0	3196836.0
S1I_T03_clean_2	1790022.0	2523736.0
S1I_T04_clean_1	398216.0	340537.0
S1I_T04_clean_2	399311.0	339442.0
S1I_T05_clean_1	706554.0	1435792.0
S1I_T05_clean_2	868622.0	1273724.0
S1I_T10_clean_1	760653.0	2078057.0
S1I_T10_clean_2	1055505.0	1783205.0
S1I_T15_clean_1	1524985.0	3673568.0
S1I_T15_clean_2	2235482.0	2963071.0
S1I_T20_clean_1	1417361.0	2987597.0
S1I_T20_clean_2	1974789.0	2430169.0
S1M_T01_clean_1	1576144.0	688885.0
S1M_T01_clean_2	1442933.0	822096.0
S1M_T02_clean_1	1745186.0	1569536.0
S1M_T02_clean_2	1888038.0	1426684.0
S1M_T03_clean_1	1536841.0	1373818.0
S1M_T03_clean_2	1673711.0	1236948.0
S1M_T04_clean_1	1311044.0	1111194.0
S1M_T04_clean_2	1306609.0	1115629.0
S1M_T05_clean_1	1166703.0	1363946.0
S1M_T05_clean_2	1431199.0	1099450.0
S1M_T10_clean_1	1040597.0	1779433.0
S1M_T10_clean_2	1238956.0	1581074.0
S1M_T15_clean_1	1382217.0	2048042.0
S1M_T15_clean_2	1705711.0	1724548.0
S1M_T20_clean_1	1381170.0	1844939.0
S1M_T20_clean_2	1571174.0	1654935.0
S2I_T01_clean_1	1997407.0	1432895.0
S2I_T01_clean_2	2125658.0	1304644.0
S2I_T02_clean_1	1127905.0	3195199.0
S2I_T02_clean_2	1978421.0	2344683.0
S2I_T03_clean_1	901129.0	2965101.0
S2I_T03_clean_2	1713442.0	2152788.0
S2I_T04_clean_1	1101317.0	2227043.0
S2I_T04_clean_2	1506596.0	1821764.0
S2I_T05_clean_1	1027165.0	2516354.0
S2I_T05_clean_2	1746615.0	1796904.0
S2I_T10_clean_1	867338.0	2333147.0
S2I_T10_clean_2	1433352.0	1767133.0
S2I_T15_clean_1	1214036.0	4320499.0
S2I_T15_clean_2	2337360.0	3197175.0
S2I_T20_clean_1	979744.0	2444222.0
S2I_T20_clean_2	1446118.0	1977848.0
S2M_T01_clean_1	2276121.0	546055.0
S2M_T01_clean_2	1868053.0	954123.0
S2M_T02_clean_1	1477420.0	2031998.0
S2M_T02_clean_2	1823955.0	1685463.0
S2M_T03_clean_1	1577233.0	2118761.0
S2M_T03_clean_2	1888844.0	1807150.0
S2M_T04_clean_1	1107294.0	1599665.0
S2M_T04_clean_2	1258511.0	1448448.0
S2M_T05_clean_1	1636247.0	1617171.0
S2M_T05_clean_2	2320276.0	933142.0
S2M_T10_clean_1	976065.0	1694741.0
S2M_T10_clean_2	1188597.0	1482209.0
S2M_T15_clean_1	1120335.0	485885.0
S2M_T15_clean_2	1498235.0	107985.0
